@RELATION	HeightMapping

@ATTRIBUTE	x	NUMERIC
@ATTRIBUTE	y	NUMERIC
@ATTRIBUTE	light	NUMERIC

@DATA
268.0,193.5,20
268.5,186.0,20
267.5,183.5,20
268.5,177.0,20
268.0,167.5,20
269.0,156.5,20
267.5,141.5,20
249.5,217.0,20
249.5,217.0,20
249.5,217.0,20
249.5,217.0,20
208.0,216.0,20
209.5,217.0,20
210.5,211.0,20
212.5,199.5,20
210.0,190.5,20
209.5,179.5,20
211.5,171.0,20
213.0,165.5,20
213.5,158.0,20
215.0,151.0,20
172.0,178.5,20
173.0,174.5,20
174.5,167.0,20
172.0,160.0,20
173.5,155.5,20
174.0,149.5,20
175.0,141.5,20
140.0,146.0,20
142.5,142.5,20
143.5,131.5,20
338.0,127.0,80
339.5,126.0,80
347.0,126.5,80
356.5,125.5,80
367.5,125.0,80
373.0,125.0,80
384.5,124.0,80
390.5,124.0,80
402.0,124.0,80
405.5,125.0,80
415.0,125.5,80
358.0,148.5,80
364.0,148.5,80
374.5,145.5,80
382.5,146.5,80
391.5,145.0,80
402.0,145.5,80
380.0,165.0,80
385.5,165.5,80
392.5,166.5,80
448.0,130.5,80
449.5,130.5,80
418.5,165.0,80
419.5,157.5,80
418.5,150.0,80
418.5,145.0,80
382.0,171.0,80
380.5,165.5,80
380.5,160.5,80
382.0,153.0,80
382.0,147.0,80
348.0,148.0,80
350.5,143.0,80
471.5,252.5,20
466.0,249.0,20
466.0,239.5,20
467.0,232.0,20
465.5,224.5,20
465.5,215.5,20
465.5,207.5,20
465.0,202.0,20
466.5,194.0,20
465.5,186.5,20
465.0,176.5,20
448.0,235.0,0
447.0,230.0,20
447.0,221.0,20
448.5,213.0,20
449.5,209.5,20
449.0,201.5,20
452.5,192.5,20
425.5,215.0,20
424.5,215.0,20
427.5,208.5,20
452.5,163.0,20
452.0,157.5,20
415.0,195.5,20
422.0,190.0,20
427.0,190.5,20
434.0,195.0,20
439.0,194.0,20
452.0,190.0,20
442.5,217.5,20
451.0,219.5,20
286.5,312.0,0
299.0,314.5,0
298.0,316.0,0
316.0,310.5,0
318.0,316.0,0
332.0,318.0,0
341.0,319.0,0
348.5,318.0,0
357.0,317.5,0
366.0,310.5,0
374.5,312.5,0
382.5,312.5,0
383.0,313.5,0
399.5,309.5,0
408.0,314.5,0
415.0,312.0,0
426.5,315.5,0
437.0,308.0,0
447.0,317.5,0
450.5,312.5,0
333.0,276.0,0
336.5,272.5,0
341.5,277.5,0
347.5,281.5,0
359.5,277.0,0
368.5,281.5,0
382.5,284.0,0
390.0,279.5,0
397.0,282.0,0
404.5,282.5,0
416.0,283.5,0
421.5,282.0,0
429.0,280.5,0
438.5,280.0,0
442.5,277.0,0
371.5,230.0,0
381.0,229.5,0
387.0,231.5,0
397.5,236.5,0
405.5,231.0,0
410.0,232.5,0
383.0,219.5,0
387.0,222.0,0
460.0,319.0,0
460.0,316.0,0
461.5,305.5,0
460.0,298.0,0
461.5,288.5,0
460.5,284.5,0
429.5,319.0,0
429.5,314.0,0
429.5,309.0,0
429.0,302.0,0
431.5,293.5,0
432.5,287.0,0
432.0,279.5,0
432.5,267.5,0
384.5,319.0,20
386.0,313.5,20
384.0,302.5,20
384.5,295.0,20
382.5,290.0,20
384.5,281.5,0
382.0,272.0,20
382.0,261.0,20
382.5,257.0,0
384.0,250.5,0
336.0,324.0,0
335.0,313.5,0
334.0,307.0,0
334.5,296.5,0
337.0,291.5,20
303.5,327.0,0
307.0,323.5,0
306.5,316.5,0
393.5,205.0,100
390.5,207.5,100
384.0,208.5,100
373.5,204.0,100
366.0,205.5,100
356.0,205.5,100
350.0,207.0,100
339.5,201.5,100
367.5,179.5,100
348.0,174.5,100
348.0,177.0,100
371.0,229.0,100
369.5,232.5,100
356.0,231.0,100
354.0,234.5,100
342.5,231.5,100
340.5,230.5,100
321.5,229.0,100
310.0,231.5,100
299.0,227.5,100
324.0,260.0,100
316.5,268.0,100
316.5,267.0,100
301.5,272.0,100
301.5,268.5,100
284.5,269.0,100
284.5,266.0,100
298.0,294.0,100
288.0,292.5,100
282.0,291.0,100
269.5,288.5,100
277.5,290.0,100
264.5,291.5,100
250.0,290.0,100
243.0,296.0,100
230.0,291.5,100
218.5,292.0,100
209.0,290.5,100
212.0,286.0,100
198.5,289.5,100
197.0,286.5,100
168.0,285.0,100
