@RELATION	HeightMapping

@ATTRIBUTE	x	NUMERIC
@ATTRIBUTE	y	NUMERIC
@ATTRIBUTE	light	NUMERIC

@DATA
440.0,318.0,33
441.0,322.5,34
437.5,47.5,38
437.5,49.0,38
436.5,51.5,38
436.5,54.0,38
436.0,60.0,38
435.5,64.5,37
436.5,72.0,38
437.0,76.0,39
435.5,79.0,38
436.5,88.5,35
435.5,92.5,32
435.5,95.5,30
433.0,101.5,29
433.5,107.5,28
432.5,113.5,28
431.0,118.0,28
432.5,122.5,28
432.0,125.0,28
432.5,129.0,28
432.0,136.0,28
433.5,140.5,28
433.0,145.0,28
433.0,152.5,28
433.5,155.0,28
432.5,163.5,28
432.5,166.5,28
432.5,172.5,28
433.0,178.0,28
431.0,185.0,28
430.5,190.5,28
431.0,196.0,28
431.0,201.5,28
430.0,205.5,28
430.0,210.0,28
431.0,213.5,28
429.5,220.5,28
430.0,225.5,28
430.5,229.0,27
429.5,233.5,27
430.5,241.5,27
429.0,246.5,27
431.5,248.5,27
429.0,256.5,27
429.5,261.0,27
430.0,264.5,27
430.0,272.5,27
431.0,274.5,27
431.0,281.0,28
429.0,288.0,30
429.0,290.5,31
430.0,301.0,32
429.0,299.0,32
430.0,305.0,32
430.0,313.5,32
431.5,313.0,33
430.0,321.0,34
422.5,45.0,37
422.5,49.0,37
422.0,55.0,37
423.0,61.0,37
422.5,69.0,37
420.5,71.0,38
421.0,77.0,39
422.0,83.0,40
422.0,86.0,40
422.5,94.5,39
419.0,98.0,38
420.5,103.0,35
419.0,106.5,31
419.0,112.0,29
421.0,113.5,29
419.0,119.0,28
420.5,123.5,28
419.5,125.5,28
420.5,132.0,28
419.5,136.5,28
418.5,142.5,28
421.5,147.5,28
421.5,150.5,28
420.5,158.0,28
421.0,159.0,28
421.0,171.5,27
421.0,174.5,27
419.0,178.0,27
419.0,183.5,27
418.5,190.0,27
418.0,197.5,27
418.5,200.0,27
419.5,205.0,27
418.0,209.5,27
417.5,213.5,26
418.5,219.5,26
417.5,226.0,26
415.5,231.0,26
418.5,235.5,26
418.5,240.0,26
418.0,244.0,26
418.0,250.5,26
418.5,255.5,26
417.0,264.0,26
417.5,268.5,26
417.0,272.5,27
417.5,278.0,27
416.5,282.0,28
418.5,289.0,31
416.5,294.5,32
417.5,299.0,32
416.5,305.0,33
416.5,308.5,33
416.0,314.0,33
415.0,318.5,33
397.5,52.5,37
397.0,53.5,37
397.0,58.0,37
396.5,65.0,37
396.0,68.5,37
397.0,72.5,39
396.5,80.5,40
397.5,82.5,40
395.0,90.0,40
395.5,95.5,40
395.0,103.5,40
396.0,107.0,40
396.0,111.5,40
398.5,118.5,40
396.5,123.5,38
397.0,123.0,36
396.5,129.5,33
396.5,129.5,30
396.5,129.5,28
396.5,129.5,28
396.5,129.5,27
396.5,129.5,28
396.5,129.5,27
396.5,129.5,27
396.5,129.5,27
396.5,129.5,27
396.5,129.5,27
396.5,129.5,27
