@RELATION	HeightMapping

@ATTRIBUTE	x	NUMERIC
@ATTRIBUTE	y	NUMERIC
@ATTRIBUTE	light	NUMERIC

@DATA
294.0,57.0,60
295.0,64.5,60
296.5,66.0,60
294.0,73.5,80
294.0,80.0,80
293.5,85.0,80
293.0,89.0,80
293.5,94.0,80
293.0,99.5,60
293.0,105.5,60
292.0,107.0,60
294.5,113.5,80
293.0,119.5,100
292.0,123.5,100
292.0,128.0,100
291.5,134.5,100
291.5,138.5,100
291.0,145.0,100
292.0,149.5,100
292.5,153.0,100
290.0,160.5,100
290.5,163.5,100
291.5,168.0,100
291.0,175.5,100
291.5,180.5,100
291.5,186.0,100
291.0,189.0,100
292.5,196.5,100
291.5,201.0,100
292.5,206.0,100
292.0,210.5,100
293.5,216.0,80
292.0,222.0,40
293.5,227.0,20
292.5,228.0,0
292.5,235.0,0
291.0,240.0,0
292.0,242.0,0
291.5,250.0,0
291.0,258.0,0
290.5,264.0,0
290.5,270.5,0
292.0,280.0,0
290.5,284.0,20
292.5,286.0,40
289.0,293.0,40
290.0,299.0,40
290.5,306.0,40
289.5,312.0,40
288.0,314.5,40
291.0,320.5,60
277.5,45.5,60
276.0,49.5,60
277.0,52.5,60
278.0,59.0,60
277.0,62.5,60
275.0,66.5,60
275.0,73.5,60
275.0,77.0,80
274.5,79.0,60
273.0,88.0,40
276.5,92.0,20
272.0,97.0,20
272.0,102.0,20
272.0,104.0,20
272.0,111.5,20
271.5,115.5,20
271.5,120.5,20
271.5,124.5,20
271.5,130.0,40
271.5,134.0,60
271.0,140.0,80
270.0,146.5,100
270.5,153.0,100
269.5,156.0,100
270.5,160.5,100
269.0,167.5,100
270.0,171.0,100
270.5,176.0,100
270.5,183.0,100
271.5,189.0,100
270.5,194.0,100
270.5,197.5,100
270.5,203.5,100
269.0,209.0,100
269.0,214.0,100
270.0,220.0,100
269.0,222.5,100
269.5,228.0,100
270.0,234.5,100
268.5,238.0,80
269.5,243.5,60
268.5,249.0,40
266.0,251.0,0
264.0,260.5,0
267.5,265.0,0
264.5,271.0,0
265.0,275.0,0
264.5,284.0,20
263.5,285.0,40
261.5,293.5,40
260.0,296.5,40
261.0,301.0,40
261.0,304.5,40
261.5,308.0,40
264.5,310.0,40
244.0,42.0,60
245.5,49.0,60
244.0,53.0,60
242.5,57.0,60
242.0,63.5,60
243.5,68.5,60
242.5,75.0,40
243.0,77.0,20
241.0,85.0,20
242.5,88.0,20
243.0,93.5,20
243.0,98.0,20
244.0,102.5,20
243.5,107.0,20
244.5,112.5,20
245.5,117.5,20
245.0,123.0,20
245.5,130.5,20
244.5,132.0,20
246.5,137.5,20
246.5,142.0,20
244.5,149.0,20
245.0,151.0,20
243.5,155.5,20
246.5,160.5,40
243.0,170.5,60
243.0,171.0,60
244.5,177.0,80
242.5,179.5,80
243.5,186.5,100
244.5,194.0,100
242.0,199.5,100
244.5,203.0,100
241.0,211.5,100
242.5,215.0,100
243.0,220.0,100
241.5,223.0,100
242.5,229.5,100
244.0,234.5,100
243.5,240.0,100
241.0,244.0,100
242.0,247.5,100
240.0,253.5,100
243.5,261.0,80
243.5,266.0,60
245.0,265.0,40
244.0,274.5,20
242.5,285.5,20
241.0,287.5,40
241.0,292.5,40
241.0,299.0,40
240.0,300.5,40
240.5,306.5,40
240.5,309.5,40
241.5,309.0,40
232.0,43.0,60
232.0,47.5,60
231.5,50.0,60
230.0,57.5,60
229.0,62.0,60
229.0,67.0,60
229.5,71.5,40
228.0,76.5,20
229.5,80.5,20
228.5,86.5,20
229.0,88.5,20
228.5,96.5,20
228.0,98.0,20
227.5,104.0,20
227.0,109.5,20
227.5,116.5,20
227.0,119.0,20
228.0,125.5,20
227.5,130.0,20
226.5,134.0,20
227.5,142.5,20
226.5,149.0,20
226.5,151.5,20
223.0,157.5,20
225.5,161.5,20
222.5,168.0,20
224.5,170.0,20
224.0,177.5,20
224.5,181.5,20
224.5,183.5,40
224.0,192.5,60
222.0,198.5,60
224.0,203.5,80
223.5,209.0,80
223.0,215.5,100
222.5,220.0,100
223.0,223.0,100
221.5,228.0,100
222.5,234.5,100
223.5,239.0,100
220.0,244.0,100
221.0,248.0,100
221.0,255.5,100
220.5,256.0,100
219.5,263.5,100
220.5,266.0,100
217.0,273.5,100
214.0,280.5,100
217.5,286.0,60
215.5,290.5,40
215.0,294.0,40
216.0,298.0,40
215.5,302.5,40
216.0,308.0,40
214.5,309.5,40
206.5,41.0,60
206.0,43.0,60
205.0,50.5,60
206.5,53.0,60
204.0,58.5,60
204.0,65.5,60
205.5,72.5,60
204.0,75.0,40
204.0,83.0,20
205.0,83.0,20
204.5,87.0,20
205.0,90.5,20
204.5,97.5,20
205.0,102.0,20
205.5,108.5,20
204.0,114.5,20
204.0,117.0,20
204.5,123.5,20
204.0,129.0,20
203.5,134.0,20
204.5,139.0,20
203.5,143.0,20
202.5,149.0,20
203.5,156.0,20
202.0,160.5,20
202.0,163.0,20
202.5,168.0,20
202.0,174.0,20
203.0,179.5,20
201.0,184.5,20
201.0,189.5,20
200.5,196.0,20
200.5,198.0,20
199.0,202.5,40
200.5,210.5,60
198.5,218.0,80
199.0,223.5,100
198.0,226.0,100
196.5,231.0,100
196.0,238.5,100
196.0,243.0,100
195.5,247.0,100
195.0,252.5,100
198.0,260.0,100
197.5,262.0,100
195.5,268.0,100
196.0,273.0,100
201.0,272.5,100
199.5,286.5,60
200.0,289.0,40
200.0,292.0,40
199.5,299.0,40
199.0,301.0,40
198.5,312.5,40
199.5,311.5,40
192.5,44.5,60
192.5,44.0,60
191.5,50.0,60
190.5,56.5,60
192.5,61.5,60
190.0,67.5,60
190.5,73.0,40
191.5,78.0,20
188.5,84.0,20
189.0,88.5,20
188.5,93.0,20
187.0,97.5,20
187.0,100.0,20
188.0,106.5,20
188.5,111.5,20
187.0,113.0,20
187.5,120.5,20
187.5,125.5,20
187.5,130.0,20
186.5,135.0,20
185.5,140.0,20
185.0,147.5,20
187.5,152.5,20
185.0,158.5,20
187.5,162.0,20
186.5,167.5,20
184.5,172.5,20
183.5,179.0,20
183.0,180.5,20
182.0,186.0,40
180.0,190.0,60
180.5,197.0,80
180.0,202.5,100
180.5,207.5,100
180.5,213.5,100
178.0,217.5,100
178.0,223.5,100
177.5,226.0,100
177.0,232.0,100
178.0,237.0,100
177.0,241.5,100
177.5,247.0,100
176.5,251.5,100
176.5,261.0,100
176.0,261.5,100
176.5,267.0,100
175.5,274.5,100
175.0,278.5,80
176.5,282.5,60
175.5,287.0,40
175.5,292.0,40
174.0,296.0,40
173.0,301.0,40
173.0,307.5,40
178.0,42.5,60
177.0,47.0,60
175.0,51.5,60
177.5,56.0,60
175.5,61.5,60
176.0,68.0,60
175.5,71.0,40
176.0,77.0,20
174.5,85.0,20
174.5,86.0,20
174.0,93.5,20
173.5,96.5,20
172.5,103.0,20
172.5,107.5,20
172.5,111.5,20
172.5,116.5,20
172.5,121.5,20
172.0,126.0,20
172.5,132.5,20
172.5,136.5,20
171.0,140.0,20
172.5,145.5,20
172.5,149.5,20
171.5,158.0,20
170.5,163.0,20
170.5,167.0,20
169.5,172.0,40
168.5,176.5,60
168.5,180.0,80
166.5,185.0,100
167.0,191.5,100
166.5,195.5,100
166.5,201.5,100
165.5,206.5,100
166.5,209.5,100
164.0,215.5,100
167.0,223.0,100
163.0,230.0,100
163.0,229.0,100
163.5,235.5,100
163.5,240.5,100
162.5,246.5,100
162.5,250.0,100
162.0,256.5,100
162.0,262.0,100
161.5,268.0,100
161.0,276.5,100
160.0,279.5,80
160.5,285.0,40
160.0,288.5,40
159.5,292.0,40
160.0,301.0,40
159.0,305.0,40
159.0,312.5,40
158.5,314.0,40
146.5,42.0,60
149.5,43.0,60
146.5,50.5,60
146.5,56.5,60
144.0,60.0,60
144.5,67.5,60
144.0,71.0,40
144.0,74.5,20
144.5,82.0,20
143.0,86.5,20
142.5,91.5,20
