@RELATION	HeightMapping

@ATTRIBUTE	x	NUMERIC
@ATTRIBUTE	y	NUMERIC
@ATTRIBUTE	light	NUMERIC

@DATA
243.0,104.0,60
237.0,106.0,60
225.0,107.0,60
219.0,105.0,60
211.5,105.0,60
203.5,108.5,40
191.0,101.0,60
190.5,102.5,60
178.0,99.5,60
171.0,99.5,60
160.0,100.0,60
155.5,99.0,60
145.0,102.5,60
143.0,102.0,60
127.0,102.5,60
541.0,104.5,60
535.0,105.0,60
529.5,105.5,60
519.5,105.5,60
512.5,105.0,60
502.0,106.0,60
499.5,104.5,60
491.5,103.0,60
486.5,102.0,60
476.0,102.5,60
469.0,103.0,60
460.5,102.5,60
452.5,100.0,60
442.5,101.5,60
436.0,101.0,60
428.5,100.0,60
421.5,99.0,60
405.5,101.5,60
400.5,102.0,60
391.5,102.0,60
382.0,103.0,60
375.5,102.5,60
366.0,103.5,60
358.0,103.5,60
350.5,103.0,60
341.5,103.5,60
331.5,102.0,60
322.0,103.5,60
315.5,104.5,60
304.5,103.5,60
297.0,104.0,60
289.0,105.5,60
281.5,104.5,60
271.5,104.5,60
265.0,105.0,60
255.5,106.0,60
249.5,106.5,60
236.5,105.0,60
230.5,105.0,60
220.0,105.0,60
212.5,104.5,60
203.0,107.0,60
194.5,107.0,60
186.0,107.5,60
177.0,107.5,60
168.0,107.5,60
160.0,107.0,60
152.5,107.5,60
127.5,107.0,60
501.0,82.0,60
501.5,83.0,60
497.0,95.5,60
498.5,103.5,40
498.5,113.0,40
497.5,116.0,40
497.0,124.5,40
497.0,133.0,40
498.5,142.0,40
499.5,153.5,40
496.5,166.5,40
543.0,189.5,60
540.0,190.0,60
534.0,190.5,60
525.5,191.5,60
518.0,190.5,60
499.5,196.5,100
499.5,199.5,100
498.0,208.5,100
501.5,217.0,100
501.0,227.0,100
500.5,233.0,100
501.0,241.5,80
501.5,249.5,100
500.0,258.5,100
503.5,264.0,100
502.0,274.5,80
501.0,282.5,100
498.5,290.0,80
499.5,295.5,80
498.5,306.0,80
499.0,314.5,60
484.5,101.0,60
481.5,103.0,80
476.5,111.5,80
472.5,116.5,60
467.5,123.0,60
462.5,130.5,60
452.0,137.0,80
449.5,141.0,60
444.5,147.0,60
439.0,153.5,60
433.5,159.0,60
427.5,167.0,60
423.0,173.0,60
489.5,116.5,60
483.0,116.0,80
474.5,118.5,80
467.0,118.0,80
457.0,120.5,80
450.0,120.5,80
441.0,121.5,80
433.0,122.5,80
426.5,119.5,80
420.5,120.0,80
410.0,121.5,80
403.5,120.5,80
393.5,121.0,80
385.0,121.0,80
376.0,123.0,80
369.0,123.5,80
408.0,120.0,80
400.0,118.0,80
393.5,118.0,80
384.5,117.5,80
376.0,116.5,80
366.0,116.0,80
359.5,115.0,80
348.5,115.0,80
341.5,115.5,80
331.0,115.5,60
302.0,99.5,60
305.0,102.5,60
310.0,107.0,80
317.5,112.0,80
323.5,117.0,80
331.5,123.5,80
336.5,127.0,80
342.0,133.5,80
350.0,139.0,80
356.0,144.0,80
363.0,150.0,80
368.5,154.5,80
381.5,166.0,80
385.5,169.5,80
391.5,174.5,60
398.5,180.0,40
493.5,118.0,40
491.0,122.0,20
486.0,129.5,20
480.0,135.5,20
473.5,141.5,20
468.0,147.0,20
461.5,154.5,20
457.0,160.0,20
450.5,166.5,20
444.5,173.0,20
438.0,179.5,20
432.5,186.5,20
428.5,191.5,20
488.5,103.0,40
488.5,107.0,20
486.5,115.0,20
